0.000001	0.0000004459	0.0000000000	0.0000000000	0.0000006291
0.100001	0.0445679947	0.0023109739	0.0000968796	0.0627650042
0.200001	0.0890025518	0.0083427295	0.0006028408	0.1246378032
0.300001	0.1331705246	0.0184741230	0.0019797634	0.1847387318
0.400001	0.1769369695	0.0325631554	0.0046430755	0.2422097229
0.500001	0.2201646453	0.0504642967	0.0089813275	0.2962254191
0.600001	0.2627127213	0.0720021423	0.0153516815	0.3460029075
0.700001	0.3044356656	0.0969663026	0.0240718642	0.3908113703
0.800001	0.3451829211	0.1251104495	0.0354129328	0.4299823329
0.900001	0.3847861502	0.1561477019	0.0495911998	0.4629041020
1.000001	0.4230102430	0.1897299295	0.0667548524	0.4889739782
1.100001	0.4595765911	0.2254516050	0.0869768310	0.5076428729
1.200001	0.4941639611	0.2628458557	0.1102452914	0.5184329006
1.300001	0.5263136959	0.3013315250	0.1364339125	0.5208533742
1.400001	0.5555326750	0.3402588522	0.1653105262	0.5145347134
1.500001	0.5813788043	0.3789604009	0.1965545828	0.4993241263
1.600001	0.6034994476	0.4167858953	0.2297741545	0.4753158911
1.700001	0.6216561242	0.4531338143	0.2645266901	0.4428559095
1.800001	0.6357368943	0.4874776269	0.3003415451	0.4025253278
1.900001	0.6457540088	0.5193822244	0.3367405194	0.3551056830
2.000001	0.6518275540	0.5485082260	0.3732531388	0.3015318598
2.100001	0.6541587180	0.5746045410	0.4094248173	0.2428411284
2.200001	0.6529981491	0.5974920917	0.4448179187	0.1801261768
2.300001	0.6486152823	0.6170432334	0.4790075457	0.1144976925
2.400001	0.6412735380	0.6331618165	0.5115751128	0.0470586194
2.500001	0.6312144172	0.6457680552	0.5421031224	-0.0211111308
2.600001	0.6186513370	0.6547907815	0.5701740582	-0.0889630854
2.700001	0.6037721209	0.6601677623	0.5953751579	-0.1554862080
2.800001	0.5867477395	0.6618530279	0.6173093789	-0.2197144713
2.900001	0.5677442893	0.6598289096	0.6356114805	-0.2807385237
3.000001	0.5469352603	0.6541198748	0.6499670854	-0.3377220907
3.100001	0.5245116757	0.6448052529	0.6601320299	-0.3899220009
3.200001	0.5006885056	0.6320284541	0.6659492808	-0.4367094767
3.300001	0.4757066348	0.6160010976	0.6673611342	-0.4775897605
3.400001	0.4498304635	0.5970013918	0.6644151546	-0.5122172517
3.500001	0.4233418295	0.5753669823	0.6572632030	-0.5404039581
3.600001	0.3965313228	0.5514831755	0.6461537735	-0.5621200094
3.700001	0.3696882256	0.5257679073	0.6314185924	-0.5774860243
3.800001	0.3430902861	0.4986550474	0.6134549684	-0.5867580964
3.900001	0.3169943800	0.4705776297	0.5927056793	-0.5903069363
4.000001	0.2916288662	0.4419524347	0.5696382564	-0.5885932169
4.100001	0.2671881616	0.4131670515	0.5447253978	-0.5821413919
4.200001	0.2438297636	0.3845701734	0.5184279402	-0.5715141825
