1e-06	0.0937878
0.100001	0.0937309
0.200001	0.09338
0.300001	0.0928539
0.400001	0.0921777
0.500001	0.0913967
0.600001	0.090564
0.700001	0.0897351
0.800001	0.0889643
0.900001	0.088303
1	0.0877937
1.1	0.0874504
1.2	0.0872546
1.3	0.0871462
1.4	0.0870659
1.5	0.0869633
1.6	0.0867963
1.7	0.0865367
1.8	0.0861804
1.9	0.0857229
2	0.0851551
2.1	0.0844616
2.2	0.0836194
2.3	0.082602
2.4	0.0813794
2.5	0.0799128
2.6	0.0781576
2.7	0.0760697
2.8	0.073613
2.9	0.0707658
3	0.0675261
3.1	0.0639146
3.2	0.0599744
3.3	0.0557692
3.4	0.0513777
3.5	0.0468883
3.6	0.0423914
3.7	0.0379737
3.8	0.0337128
3.9	0.0296727
4	0.0259023
4.1	0.0224346
4.2	0.0192878
4.3	0.0164667
4.4	0.0139655
4.5	0.0117703
4.6	0.00986127
4.7	0.00821506
4.8	0.00680701
4.9	0.00561228
5	0.00460655
5.1	0.00376656
5.2	0.00307035
5.3	0.00249736
5.4	0.00202866
5.5	0.00164702
5.6	0.00133706
5.7	0.0010856
5.8	0.000881726
5.9	0.000716505
6	0.000582629
6.1	0.000474146
6.2	0.000386218
6.3	0.000314922
6.4	0.00025708
6.5	0.00021012
6.6	0.000171965
6.7	0.000140936
6.8	0.000115675
6.9	9.50793e-05
7	7.82575e-05
7.1	6.44926e-05
7.2	5.32122e-05
7.3	4.39563e-05
7.4	3.63527e-05
7.5	3.00998e-05
7.6	2.49524e-05
7.7	2.07105e-05
7.8	1.72108e-05
7.9	1.43201e-05
8	1.19296e-05
8.1	9.95046e-06
8.2	8.30976e-06
8.3	6.948e-06
8.4	5.81633e-06
8.5	4.87471e-06
8.6	4.09024e-06
8.7	3.43589e-06
8.8	2.88938e-06
8.9	2.43238e-06
9	2.04976e-06
9.1	1.72903e-06
9.2	1.45985e-06
9.3	1.23367e-06
9.4	1.04339e-06
9.5	8.83141e-07
9.6	7.48019e-07
9.7	6.33962e-07
9.8	5.37581e-07
9.9	4.5605e-07
10	3.87012e-07
10.1	3.28493e-07
10.2	2.78843e-07
10.3	2.36681e-07
10.4	2.00846e-07
10.5	1.70363e-07
10.6	1.44412e-07
10.7	1.22304e-07
10.8	1.03458e-07
10.9	8.73835e-08
11	7.36669e-08
11.1	6.19584e-08
11.2	5.19623e-08
11.3	4.34281e-08
11.4	3.61435e-08
11.5	2.99287e-08
11.6	2.4631e-08
11.7	2.01209e-08
11.8	1.62884e-08
11.9	1.30402e-08
12	1.02971e-08
12.1	7.992e-09
12.2	6.06804e-09
12.3	4.47722e-09
12.4	3.17912e-09
12.5	2.13986e-09
12.6	1.33124e-09
12.7	7.29996e-10
12.8	3.17218e-10
12.9	7.78289e-11
13	1.89312e-13
